host_time_iso,device_tick_ms,ch0_pF,ch1_pF,ch2_pF,ch3_pF
2026-07-15T10:32:13.113,125556,1.6585,0.2376,0.2541,0.2212
2026-07-15T10:32:13.216,125659,1.6603,0.2413,0.2518,0.2262
2026-07-15T10:32:13.319,125762,1.6557,0.2431,0.2491,0.2312
2026-07-15T10:32:13.422,125865,1.6566,0.2418,0.25,0.2258
2026-07-15T10:32:13.525,125968,1.6571,0.2418,0.2559,0.2184
2026-07-15T10:32:13.628,126071,1.6598,0.2445,0.2536,0.2271
2026-07-15T10:32:13.731,126174,1.6589,0.2482,0.2509,0.218
2026-07-15T10:32:13.834,126277,1.658,0.2386,0.2523,0.2235
2026-07-15T10:32:13.937,126380,1.6543,0.2454,0.2527,0.2294
2026-07-15T10:32:14.040,126483,1.6603,0.2427,0.2541,0.2276
2026-07-15T10:32:14.142,126586,1.6603,0.2427,0.255,0.2239
2026-07-15T10:32:14.246,126689,1.663,0.2422,0.2518,0.223
2026-07-15T10:32:14.349,126792,1.6548,0.244,0.2577,0.2253
2026-07-15T10:32:14.452,126895,1.6553,0.2468,0.2587,0.223
2026-07-15T10:32:14.555,126998,1.6562,0.2395,0.2527,0.2271
2026-07-15T10:32:14.658,127101,1.6498,0.2436,0.2555,0.2235
2026-07-15T10:32:14.760,127204,1.6589,0.2399,0.2523,0.2244
2026-07-15T10:32:14.864,127307,1.6589,0.2381,0.25,0.2235
2026-07-15T10:32:14.967,127410,1.6589,0.2427,0.2486,0.2322
2026-07-15T10:32:15.070,127513,1.6575,0.2418,0.2555,0.2226
2026-07-15T10:32:15.173,127616,1.6635,0.2477,0.2523,0.2285
2026-07-15T10:32:15.276,127719,1.658,0.2445,0.2555,0.2258
2026-07-15T10:32:15.379,127822,1.6612,0.2459,0.2523,0.2253
2026-07-15T10:32:15.482,127925,1.6598,0.244,0.2559,0.2244
2026-07-15T10:32:15.585,128028,1.6585,0.2468,0.2564,0.2198
2026-07-15T10:32:15.688,128131,1.6571,0.2408,0.2536,0.2258
2026-07-15T10:32:15.791,128234,1.6543,0.2376,0.2541,0.2299
2026-07-15T10:32:15.894,128337,1.6543,0.2404,0.2582,0.2248
2026-07-15T10:32:15.997,128440,1.658,0.2463,0.2523,0.2276
2026-07-15T10:32:16.100,128543,1.6607,0.2399,0.2541,0.2258
2026-07-15T10:32:16.203,128646,1.6562,0.2395,0.2541,0.2235
2026-07-15T10:32:16.306,128749,1.6557,0.2408,0.2527,0.2271
2026-07-15T10:32:16.409,128852,1.6612,0.2422,0.2541,0.2189
2026-07-15T10:32:16.512,128955,1.6571,0.2404,0.2541,0.229
2026-07-15T10:32:16.615,129058,1.6534,0.2376,0.2513,0.2216
2026-07-15T10:32:16.718,129161,1.6571,0.2408,0.2532,0.2248
2026-07-15T10:32:16.821,129264,1.6607,0.2413,0.2536,0.223
2026-07-15T10:32:16.924,129367,1.6566,0.2413,0.2495,0.2235
2026-07-15T10:32:17.027,129470,1.6594,0.2436,0.2491,0.2276
2026-07-15T10:32:17.130,129573,1.6566,0.239,0.2545,0.2235
2026-07-15T10:32:17.233,129676,1.6635,0.2445,0.2523,0.2221
2026-07-15T10:32:17.336,129779,1.658,0.2436,0.2536,0.2248
2026-07-15T10:32:17.439,129882,1.6617,0.2431,0.2527,0.223
2026-07-15T10:32:17.542,129985,1.6571,0.2418,0.2532,0.2285
2026-07-15T10:32:17.645,130088,1.6553,0.2408,0.2577,0.2262
2026-07-15T10:32:17.748,130191,1.6594,0.245,0.2523,0.2303
2026-07-15T10:32:17.851,130294,1.6562,0.2413,0.2587,0.2212
2026-07-15T10:32:17.954,130397,1.6598,0.2459,0.2536,0.2267
2026-07-15T10:32:18.057,130500,1.6603,0.239,0.2523,0.2322
2026-07-15T10:32:18.160,130603,1.6626,0.239,0.2541,0.2253
2026-07-15T10:32:18.263,130706,1.6653,0.2413,0.2527,0.2244
2026-07-15T10:32:18.366,130809,1.6553,0.2454,0.2559,0.2253
2026-07-15T10:32:18.469,130912,1.6502,0.2459,0.2587,0.2235
2026-07-15T10:32:18.572,131015,1.6557,0.2381,0.2536,0.2258
2026-07-15T10:32:18.675,131118,1.6548,0.2404,0.2495,0.2226
2026-07-15T10:32:18.778,131221,1.6548,0.2404,0.2541,0.2244
2026-07-15T10:32:18.881,131324,1.658,0.2381,0.2532,0.2203
2026-07-15T10:32:18.984,131427,1.6553,0.2422,0.2555,0.2226
2026-07-15T10:32:19.087,131530,1.6562,0.2431,0.2513,0.2262
2026-07-15T10:32:19.190,131633,1.658,0.2408,0.2491,0.2235
2026-07-15T10:32:19.293,131736,1.6612,0.2399,0.2564,0.2239
2026-07-15T10:32:19.396,131839,1.6589,0.2459,0.2518,0.2244
2026-07-15T10:32:19.499,131942,1.6589,0.245,0.2523,0.2317
2026-07-15T10:32:19.602,132045,1.6534,0.2404,0.2509,0.2258
2026-07-15T10:32:19.705,132148,1.6571,0.2381,0.2518,0.2244
2026-07-15T10:32:19.808,132251,1.6575,0.2413,0.2536,0.2267
2026-07-15T10:32:19.911,132354,1.6653,0.2459,0.2573,0.2262
2026-07-15T10:32:20.014,132457,1.6612,0.2427,0.2541,0.2235
2026-07-15T10:32:20.117,132560,1.6598,0.2427,0.2573,0.2239
2026-07-15T10:32:20.220,132663,1.6603,0.2413,0.255,0.2253
2026-07-15T10:32:20.323,132766,1.6585,0.2445,0.2527,0.2276
2026-07-15T10:32:20.426,132869,1.6621,0.2431,0.2568,0.2244
2026-07-15T10:32:20.529,132972,1.6575,0.239,0.2527,0.2203
2026-07-15T10:32:20.632,133075,1.6617,0.2431,0.2504,0.228
2026-07-15T10:32:20.735,133178,1.6557,0.2431,0.2518,0.2239
2026-07-15T10:32:20.838,133281,1.6617,0.2408,0.2536,0.2226
2026-07-15T10:32:20.941,133384,1.6621,0.2459,0.2564,0.2253
2026-07-15T10:32:21.044,133487,1.6566,0.2418,0.2559,0.2267
2026-07-15T10:32:21.147,133590,1.6612,0.2367,0.2486,0.2221
2026-07-15T10:32:21.250,133693,1.6594,0.2395,0.2527,0.2239
2026-07-15T10:32:21.353,133796,1.6626,0.2418,0.2513,0.2235
2026-07-15T10:32:21.456,133899,1.6617,0.2399,0.2536,0.2262
2026-07-15T10:32:21.559,134002,1.6589,0.2408,0.25,0.2267
2026-07-15T10:32:21.662,134105,1.6566,0.2427,0.2545,0.2253
2026-07-15T10:32:21.765,134208,1.6562,0.2445,0.2545,0.2276
2026-07-15T10:32:21.868,134311,1.6589,0.2418,0.2532,0.2262
2026-07-15T10:32:21.971,134414,1.6603,0.244,0.2577,0.2262
2026-07-15T10:32:22.074,134517,1.6662,0.2422,0.2518,0.2194
2026-07-15T10:32:22.177,134620,1.6617,0.2463,0.25,0.2226
2026-07-15T10:32:22.280,134723,1.6598,0.2413,0.2509,0.2285
2026-07-15T10:32:22.383,134826,1.6589,0.2386,0.2587,0.2276
2026-07-15T10:32:22.486,134929,1.663,0.2463,0.2495,0.2253
2026-07-15T10:32:22.588,135032,1.6621,0.2477,0.2504,0.2253
2026-07-15T10:32:22.692,135135,1.6635,0.2418,0.2523,0.223
2026-07-15T10:32:22.795,135238,1.6621,0.2431,0.25,0.2258
2026-07-15T10:32:22.898,135341,1.6598,0.2395,0.2536,0.2207
2026-07-15T10:32:23.001,135444,1.6635,0.2358,0.2463,0.2194
2026-07-15T10:32:23.104,135547,1.6617,0.2386,0.2509,0.2271
2026-07-15T10:32:23.207,135650,1.6617,0.2399,0.2573,0.2262
2026-07-15T10:32:23.310,135753,1.6676,0.2436,0.2541,0.2271
2026-07-15T10:32:23.413,135856,1.6594,0.239,0.2523,0.223
2026-07-15T10:32:23.516,135959,1.6598,0.2422,0.2523,0.2207
2026-07-15T10:32:23.619,136062,1.6649,0.2404,0.2545,0.2308
2026-07-15T10:32:23.721,136165,1.663,0.244,0.2541,0.223
2026-07-15T10:32:23.824,136268,1.6607,0.239,0.2504,0.2248
2026-07-15T10:32:23.928,136371,1.6589,0.2459,0.2545,0.2244
2026-07-15T10:32:24.031,136474,1.6612,0.2454,0.255,0.2203
2026-07-15T10:32:24.133,136577,1.6607,0.244,0.2532,0.2226
2026-07-15T10:32:24.237,136680,1.6603,0.2454,0.2568,0.2239
2026-07-15T10:32:24.340,136783,1.6607,0.2468,0.2527,0.2294
2026-07-15T10:32:24.443,136886,1.6589,0.2436,0.2559,0.2253
2026-07-15T10:32:24.546,136989,1.6617,0.2399,0.2536,0.2276
2026-07-15T10:32:24.649,137092,1.6653,0.2454,0.2504,0.2221
2026-07-15T10:32:24.752,137195,1.6566,0.2413,0.2527,0.2253
2026-07-15T10:32:24.855,137298,1.6635,0.2459,0.2536,0.2276
