host_time_iso,device_tick_ms,ch0_pF,ch1_pF,ch2_pF,ch3_pF
2026-07-15T10:38:09.334,39237,1.6662,0.2454,0.2568,0.2221
2026-07-15T10:38:09.486,39390,1.6717,0.2431,0.2568,0.2198
2026-07-15T10:38:09.639,39543,1.6767,0.2427,0.2573,0.2212
2026-07-15T10:38:09.792,39696,1.6722,0.2427,0.2555,0.2235
2026-07-15T10:38:09.945,39849,1.6726,0.244,0.2545,0.2262
2026-07-15T10:38:10.098,40002,1.6735,0.2427,0.2555,0.2271
2026-07-15T10:38:10.251,40155,1.6708,0.2372,0.2486,0.2244
2026-07-15T10:38:10.404,40308,1.6703,0.2427,0.2518,0.2267
2026-07-15T10:38:10.557,40461,1.674,0.2427,0.2564,0.2244
2026-07-15T10:38:10.710,40614,1.6744,0.2431,0.2523,0.2244
2026-07-15T10:38:10.863,40767,1.6735,0.244,0.2523,0.2235
2026-07-15T10:38:11.016,40920,1.6703,0.2427,0.2559,0.2248
2026-07-15T10:38:11.169,41073,1.6694,0.2436,0.2577,0.2258
2026-07-15T10:38:11.322,41226,1.6671,0.2418,0.2559,0.2253
2026-07-15T10:38:11.475,41379,1.6712,0.2427,0.2609,0.2267
2026-07-15T10:38:11.628,41532,1.6712,0.2408,0.2555,0.2253
2026-07-15T10:38:11.781,41685,1.6772,0.2454,0.255,0.228
2026-07-15T10:38:11.934,41838,1.6712,0.2436,0.255,0.229
2026-07-15T10:38:12.087,41991,1.6662,0.2418,0.2541,0.2244
2026-07-15T10:38:12.240,42144,1.6699,0.2436,0.2545,0.2258
2026-07-15T10:38:12.393,42297,1.6722,0.2436,0.2577,0.2258
2026-07-15T10:38:12.546,42450,1.6726,0.2427,0.2541,0.223
2026-07-15T10:38:12.699,42603,1.6722,0.2413,0.255,0.2253
2026-07-15T10:38:12.852,42756,1.674,0.2459,0.2527,0.2308
2026-07-15T10:38:13.005,42909,1.6763,0.2408,0.2545,0.223
2026-07-15T10:38:13.158,43062,1.6749,0.2399,0.2527,0.2267
2026-07-15T10:38:13.311,43215,1.6763,0.2463,0.255,0.2244
2026-07-15T10:38:13.464,43368,1.6776,0.2395,0.2527,0.2285
2026-07-15T10:38:13.617,43521,1.6758,0.2413,0.2564,0.2248
2026-07-15T10:38:13.770,43674,1.6744,0.2418,0.2555,0.2285
2026-07-15T10:38:13.923,43827,1.6749,0.2427,0.2564,0.2262
2026-07-15T10:38:14.076,43980,1.6749,0.2399,0.2568,0.2308
2026-07-15T10:38:14.229,44133,1.6735,0.2408,0.2532,0.2258
2026-07-15T10:38:14.382,44286,1.6744,0.2418,0.2573,0.2248
2026-07-15T10:38:14.535,44439,1.6731,0.2413,0.2527,0.228
2026-07-15T10:38:14.688,44592,1.6744,0.2427,0.2559,0.2207
2026-07-15T10:38:14.841,44745,1.6754,0.2395,0.2532,0.2248
2026-07-15T10:38:14.994,44898,1.6749,0.2436,0.2513,0.2239
2026-07-15T10:38:15.147,45051,1.6754,0.2422,0.2523,0.2203
2026-07-15T10:38:15.300,45204,1.6712,0.2418,0.2577,0.2239
2026-07-15T10:38:15.453,45357,1.6685,0.2422,0.2518,0.2235
2026-07-15T10:38:15.606,45510,1.6731,0.2436,0.2545,0.2262
2026-07-15T10:38:15.759,45663,1.6717,0.2459,0.2532,0.2267
2026-07-15T10:38:15.912,45816,1.6703,0.2431,0.2587,0.2267
2026-07-15T10:38:16.065,45969,1.6717,0.2381,0.2555,0.2235
2026-07-15T10:38:16.218,46122,1.6694,0.2431,0.2545,0.2221
2026-07-15T10:38:16.371,46275,1.6722,0.245,0.2568,0.2212
2026-07-15T10:38:16.524,46428,1.6703,0.2404,0.2518,0.2262
2026-07-15T10:38:16.677,46581,1.6699,0.2413,0.2532,0.2244
2026-07-15T10:38:16.830,46734,1.6717,0.2436,0.2532,0.2216
2026-07-15T10:38:16.983,46887,1.669,0.2418,0.2582,0.2271
2026-07-15T10:38:17.136,47040,1.6722,0.2404,0.2513,0.2253
2026-07-15T10:38:17.289,47193,1.6722,0.244,0.2568,0.2226
2026-07-15T10:38:17.442,47346,1.6708,0.2472,0.2545,0.2248
2026-07-15T10:38:17.595,47499,1.6703,0.244,0.2513,0.2235
2026-07-15T10:38:17.748,47652,1.6662,0.2445,0.2555,0.2267
2026-07-15T10:38:17.901,47805,1.6735,0.2436,0.2545,0.2253
2026-07-15T10:38:18.054,47958,1.6685,0.2413,0.2536,0.2253
2026-07-15T10:38:18.207,48111,1.6694,0.244,0.2559,0.2258
2026-07-15T10:38:18.360,48264,1.6712,0.2436,0.2559,0.2258
2026-07-15T10:38:18.513,48417,1.6717,0.244,0.2523,0.2244
2026-07-15T10:38:18.666,48570,1.6712,0.2431,0.2573,0.2271
2026-07-15T10:38:18.819,48723,1.6722,0.2445,0.2509,0.2248
2026-07-15T10:38:18.972,48876,1.6685,0.244,0.2523,0.2262
2026-07-15T10:38:19.125,49029,1.6712,0.2413,0.2523,0.2244
2026-07-15T10:38:19.278,49182,1.6694,0.2445,0.2555,0.2244
2026-07-15T10:38:19.431,49335,1.6671,0.2422,0.2523,0.2262
2026-07-15T10:38:19.584,49488,1.6685,0.2413,0.2541,0.228
2026-07-15T10:38:19.737,49641,1.6694,0.244,0.2582,0.2258
2026-07-15T10:38:19.890,49794,1.6722,0.2422,0.2564,0.2203
2026-07-15T10:38:20.043,49947,1.6726,0.2468,0.2545,0.2235
2026-07-15T10:38:20.196,50100,1.6703,0.2436,0.25,0.2244
2026-07-15T10:38:20.349,50253,1.6708,0.2395,0.2532,0.2235
2026-07-15T10:38:20.502,50406,1.6685,0.2418,0.2518,0.2271
2026-07-15T10:38:20.655,50559,1.6763,0.2404,0.2559,0.2294
2026-07-15T10:38:20.808,50712,1.6717,0.2445,0.2591,0.2262
2026-07-15T10:38:20.961,50865,1.6722,0.2408,0.2518,0.2271
2026-07-15T10:38:21.114,51018,1.6676,0.2399,0.2532,0.2276
2026-07-15T10:38:21.267,51171,1.6708,0.2422,0.2518,0.229
2026-07-15T10:38:21.420,51324,1.6717,0.2436,0.2482,0.2262
2026-07-15T10:38:21.573,51477,1.6681,0.2468,0.2536,0.229
2026-07-15T10:38:21.726,51630,1.6717,0.2413,0.2559,0.2258
2026-07-15T10:38:21.879,51783,1.6703,0.2399,0.255,0.2276
2026-07-15T10:38:22.032,51936,1.6694,0.244,0.2532,0.2239
2026-07-15T10:38:22.185,52089,1.6703,0.2395,0.255,0.2235
2026-07-15T10:38:22.337,52242,1.6726,0.2404,0.2545,0.2244
2026-07-15T10:38:22.491,52395,1.6699,0.2386,0.2555,0.2267
2026-07-15T10:38:22.643,52548,1.6681,0.2381,0.2541,0.2253
2026-07-15T10:38:22.797,52701,1.6644,0.2386,0.2509,0.2253
2026-07-15T10:38:22.950,52854,1.6699,0.239,0.2536,0.2271
2026-07-15T10:38:23.103,53007,1.6717,0.2436,0.2559,0.2258
2026-07-15T10:38:23.256,53160,1.6681,0.2418,0.2545,0.2248
2026-07-15T10:38:23.409,53313,1.6662,0.245,0.2536,0.2262
2026-07-15T10:38:23.562,53466,1.6676,0.2418,0.2545,0.2248
2026-07-15T10:38:23.715,53619,1.6699,0.2468,0.2523,0.2258
2026-07-15T10:38:23.868,53772,1.6699,0.2418,0.2527,0.2276
2026-07-15T10:38:24.020,53925,1.6639,0.2431,0.2568,0.2244
2026-07-15T10:38:24.173,54078,1.6653,0.2436,0.2555,0.2226
2026-07-15T10:38:24.327,54231,1.6639,0.2427,0.2564,0.2235
2026-07-15T10:38:24.479,54384,1.6699,0.2427,0.2532,0.2216
2026-07-15T10:38:24.633,54537,1.6694,0.2431,0.2536,0.2235
2026-07-15T10:38:24.786,54690,1.6667,0.2422,0.2523,0.2258
2026-07-15T10:38:24.939,54843,1.6681,0.2427,0.2587,0.2262
2026-07-15T10:38:25.091,54996,1.6653,0.2418,0.2509,0.2253
2026-07-15T10:38:25.244,55149,1.6667,0.2436,0.2555,0.2262
2026-07-15T10:38:25.398,55302,1.6676,0.2399,0.2541,0.2253
2026-07-15T10:38:25.550,55455,1.6671,0.239,0.2532,0.2285
2026-07-15T10:38:25.704,55608,1.6699,0.245,0.2541,0.228
2026-07-15T10:38:25.857,55761,1.6722,0.2422,0.2564,0.2244
2026-07-15T10:38:26.009,55914,1.679,0.2413,0.2559,0.2271
2026-07-15T10:38:26.163,56067,1.6863,0.244,0.2518,0.2267
2026-07-15T10:38:26.316,56220,1.6927,0.245,0.2523,0.2317
2026-07-15T10:38:26.469,56373,1.6891,0.2436,0.2541,0.2262
2026-07-15T10:38:26.621,56526,1.6831,0.2422,0.2541,0.2253
2026-07-15T10:38:26.775,56679,1.674,0.2408,0.2545,0.2198
2026-07-15T10:38:26.928,56832,1.6854,0.2395,0.2555,0.2248
2026-07-15T10:38:27.081,56985,1.6941,0.2386,0.2523,0.2253
2026-07-15T10:38:27.233,57138,1.6968,0.2427,0.2518,0.2267
2026-07-15T10:38:27.386,57291,1.6996,0.239,0.255,0.229
2026-07-15T10:38:27.540,57444,1.701,0.244,0.2509,0.2267
2026-07-15T10:38:27.693,57597,1.6973,0.2422,0.2513,0.2262
2026-07-15T10:38:27.845,57750,1.7014,0.2413,0.2532,0.2262
2026-07-15T10:38:27.999,57903,1.701,0.2445,0.2573,0.223
2026-07-15T10:38:28.152,58056,1.7019,0.245,0.2573,0.2248
2026-07-15T10:38:28.305,58209,1.7055,0.2413,0.2555,0.2253
2026-07-15T10:38:28.458,58362,1.7074,0.244,0.255,0.2253
2026-07-15T10:38:28.611,58515,1.7069,0.245,0.2559,0.229
2026-07-15T10:38:28.763,58668,1.7087,0.2427,0.2523,0.2271
2026-07-15T10:38:28.917,58821,1.7115,0.245,0.2545,0.2267
2026-07-15T10:38:29.070,58974,1.7055,0.2404,0.2564,0.2212
2026-07-15T10:38:29.223,59127,1.7101,0.2436,0.2545,0.2239
2026-07-15T10:38:29.375,59280,1.7119,0.2376,0.2532,0.228
2026-07-15T10:38:29.529,59433,1.7133,0.2427,0.2495,0.2253
2026-07-15T10:38:29.681,59586,1.7115,0.2445,0.2555,0.2267
2026-07-15T10:38:29.834,59739,1.7124,0.2427,0.2527,0.2271
2026-07-15T10:38:29.988,59892,1.7101,0.2399,0.2527,0.2244
2026-07-15T10:38:30.141,60045,1.7142,0.2408,0.2559,0.2276
2026-07-15T10:38:30.294,60198,1.7119,0.2427,0.2596,0.2253
